COMPANY NAME,BRANCH/LOCATION NAME,STATE,REGION,WAN/INTERNET CLIENT,BANDWIDTH SUBSCRIPTION (Mbps),CUSTOMER STATUS,CLIENT
MD's House,MD's House Surulere,Lagos,South West,INTERNET,5,Active,Corporate
Mecure,Mecure Ibadan,Oyo,South West,INTERNET,10,Active,Corporate
MFM,Nassarawa MFH,Nassarawa,North Central,INTERNET,10,Active,Corporate
Milicomms Network Solutions(Sahel),Milicomms Network Solutions Kaduna,Kaduna,North West,INTERNET,5,Active,Corporate
MMSD,MMSD Lekki,Lagos,South West,WAN,6,Active,Corporate
MMSD HQ1,MMSD HQ,Abuja,North Central,INTERNET,16,Active,Corporate
MMSD HQ2,MMSD HQ,Abuja,North Central,WAN,20,Active,Corporate
MPI,MPI Awka,Anambra,South East,INTERNET,6,Active,Corporate
NAPHDA,NAPHDA Lafia,Nassarawa,North Central,INTERNET,10,Active,Corporate
NIMC(Sahel) HQ,NIMC HQ Abuja,Abuja,North Central,INTERNET,30,Active,Corporate
Nimsco Global,Nimsco Global Bauchi,Bauchi,North East,INTERNET,20,Active,Corporate
Nimsco Global,Nimsco Global Ilorin,Kwara,North Central,INTERNET,15,Active,Corporate
Nimso Global,Nimsco Global Minna,Niger,North Central,INTERNET,15,Active,Corporate
Nipco,Nipco Apapa,Lagos,South West,INTERNET,17,Active,Corporate
Nipco Golf Club,Nipco GolfClub Apapa,Lagos,South West,INTERNET,17,Active,Corporate
Nissi Computer,Akuchukwu MFB Onitsha,Anambra,South East,INTERNET,5,Active,Corporate
Nissi Computers,Nissi Computers Awka,Anambra,South East,INTERNET,3,Active,Corporate
Nivafar,Nivafar,Lagos,South West,INTERNET,50,Active,Corporate
NIX Defence HQ,NIX Defence HQ Abuja,Abuja,North Central,INTERNET,20,Active,Corporate
NIX Plaschema,NIX Jos,Plateau,North Central,INTERNET,14,Active,Corporate
Nix Technologies,Nix Technologies Abuja Durunmi,Abuja,North Central,INTERNET,22,Active,Corporate
NIX Technologies,Ministry of Health Lafia,Nassarawa,North Central,INTERNET,42,Active,Corporate
NPA,NPA Warri,Delta,South South,INTERNET,5,Active,Corporate
National Institute of Nigeria Language  ,National Institute of Nigeria Language Aba,Abia,South East,INTERNET,10,Active,Corporate
Paychex,PayChex Umuahia FMW,Abia,South East,INTERNET,4,Active,Corporate
Paychex,Paychex MOW,Lagos,South West,INTERNET,4,Active,Corporate
Paychex,Paychex Abeokuta,Ogun,South West,INTERNET,4,Active,Corporate
Paychex,Paychex Rivers,Rivers,South South,INTERNET,4,Active,Corporate
Philips Outsourcing Services,Philip Consulting Obanikoro,Lagos,South West,INTERNET,20,Active,Corporate
Pind,Pind Warri,Delta,South South,INTERNET,17,Active,Corporate
PingPing,PingPing Isolo,Lagos,South West,INTERNET,5,Active,Corporate
Premier Lotto,Premier Lotto Abuja,Abuja,North Central,WAN,2,Active,Corporate
Premier lotto,Premier lotto Asaba,Delta,South South,WAN,1,Active,Corporate
Premier Lotto,Premier Lotto Oshogbo,Osun,South West,WAN,1,Active,Corporate
Premier Lotto,Premier Lotto Jos,Plateau,North Central,WAN,2,Active,Corporate
Premiere Lotto,Premiere Lotto Uyo,Akwaibom,South South,WAN,4,Active,Corporate
Premiere Lotto,Premier Lotto Onitsha,Anambra,South East,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Yenagoa,Bayelsa,South South,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Calabar,CrossRiver,South South,WAN,4,Active,Corporate
Premiere Lotto,Premiere Lotto Asaba Airport,Delta,South South,INTERNET,155,Active,Corporate
Premiere Lotto,Premiere Lotto Benin city,Edo,South South,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Adoekiti,Ekiti,South West,WAN,4,Active,Corporate
Premiere Lotto,Premiere Lotto Kano,Kano,North West,WAN,5,Active,Corporate
Premiere Lotto,Premiere Lotto Ilorin,Kwara,North Central,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Ota,Lagos,South West,WAN,4,Active,Corporate
Premiere Lotto,Premiere Lotto Yaba,Lagos,South West,INTERNET,15,Active,Corporate
Premiere Lotto,Premier Lotto Lagos HQ,Lagos,South West,WAN,20,Active,Corporate
Premiere Lotto,Premiere Lotto Ibeshe,Lagos,South West,WAN,20,Active,Corporate
Premiere Lotto,Premiere Lotto Abeokuta,Ogun,South West,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Ijebu-ode,Ogun,South West,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Akure,Ondo,South West,WAN,1,Active,Corporate
Premiere Lotto,Premiere Lotto Ibadan,Oyo,South West,WAN,2,Active,Corporate
Premiere Lotto,Premiere Lotto PH,Rivers,South South,WAN,4,Active,Corporate
Raysoftware,Magistrate ogudu,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Magbowa,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ejigbo,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Isolo,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ojo,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ijede,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Magbon,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ajegule,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ikoyi,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Ajegule 2,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court Yaba,Lagos,South West,INTERNET,10,Active,Corporate
Raysoftware,Magistrate Court Ogba,Lagos,South West,INTERNET,10,Active,Corporate
Raysoftware,Magistrate Court Ebute Metta  ,Lagos,South West,INTERNET,10,Active,Corporate
Raysoftware,Magistrate Court  Tinubu Square ,Lagos,South West,INTERNET,10,Active,Corporate
Raysoftware,Magistrate Court  Surulere 1,Lagos,South West,INTERNET,5,Active,Corporate
Raysoftware,Magistrate Court  Surulere 2,Lagos,South West,INTERNET,5,Active,Corporate
R28,R28 Ilubirin,Lagos,South West,INTERNET,40,Disconnected,Corporate
R28,R28 Shagamu,Ogun,South West,INTERNET,10,Active,Corporate
RCCG,RCCG White House,Lagos,South West,INTERNET,5,Active,Corporate
Reliance Chemicals,Reliance Chemicals Apapa,Lagos,South West,INTERNET,5,Active,Corporate
Royal Parklane Hotel,Royal Parklane Akure,Ondo,South West,INTERNET,10,Active,Corporate
Sagar,Sagar Lagos,Lagos,South West,INTERNET,3,Active,Corporate
SDMA,SDMA Mubi,Adamawa,North East,INTERNET,2,Active,Corporate
SDMA,SDMA Ashaka Cement,Gombe,North East,INTERNET,45,Active,Corporate
SDMA,SDMA Kaduna,Kaduna,North West,INTERNET,2,Active,Corporate
SDMA,SDMA Oregun,Lagos,South West,INTERNET,3,Active,Corporate
SDMA,SDMA Ifo,Lagos,South West,INTERNET,50,Active,Corporate
SDMA,SDMA Ijebu Ode,Ogun,South West,INTERNET,2,Active,Corporate
SDMA,SDMA Oshogbo,Osun,South West,INTERNET,2,Active,Corporate
SDMA,SDMA Ibadan,Oyo,South West,INTERNET,2,Disconnected,Corporate
SDMA,SDMA Jos,Plateau,North Central,INTERNET,2,Active,Corporate
Simbanet,Simbanet PH,Rivers,South South,INTERNET,5,Disconnected,Corporate
Simbanet,Simbanet Shagamu,Ogun,South West,INTERNET,20,Disconnected,Corporate
Simbanet,Simbanet Lekki,Lagos,South South,INTERNET,100,Active,Corporate
Simbanet,Simbanet Shagamu,Ogun,South West,INTERNET,100,Active,Corporate
SIMS,SIMS Abuja,Abuja,North Central,INTERNET,3,Active,Corporate
SIMS,SIMS VI,Lagos,South West,INTERNET,8,Disconnected,Corporate
Sims,Sims Allen,Lagos,South West,INTERNET,6,Active,Corporate
SIMS,SIMS PH,Rivers,South South,INTERNET,2,Active,Corporate
Skystar Global Solutions Limited,Celebration TV Auchi,Edo,South South,INTERNET,10,Disconnected,Corporate
Skystar Global Solutions Limited,Celebration TV Auchi,Edo,South South,INTERNET,30,Active,Corporate
SpecsTech,Uzondu MFB Awka,Anambra,South East,INTERNET,5,Active,Corporate
SpecsTech,EBSU MFB Abakaliki,Ebonyi,South East,INTERNET,1,Active,Corporate
SpecsTech,CoalCamp MFB Enugu,Enugu,South East,INTERNET,2,Active,Corporate
SpecsTech,Specstech Club Enugu,Enugu,South East,INTERNET,1,Disconnected,Corporate
SpecTech,specstech College RD Enugu,Enugu,South East,INTERNET,5,Active,Corporate
Specstech Club Oha,Specstech Club Oha Enugu,Enugu,South East,INTERNET,5,Active,Corporate
SpecsTech,Specstech -Ohha MFB Aba,Abia,South East,INTERNET,2,Active,Corporate
SpecsTech,SpecsTech -Emene,Enugu,South East,INTERNET,2,Active,Corporate
SpecsTech,Specstech Africa solution -Destiny MFB Enugu -Ezike ,Enugu,South East,INTERNET,2,Active,Corporate
SpecsTech,Zik Avenue ,Enugu,South East,INTERNET,7,Active,Corporate
SpecsTech,KENECHUKWU_MFB,Enugu,South East,INTERNET,8,Active,Corporate
SpecsTech,UNN_NSK (UNN MFB),Enugu,South East,INTERNET,12,Active,Corporate
SpecsTech,MINT MFB PH,Rivers,South South,INTERNET,4,Active,Corporate
Speed of Light Communications,Speed of Light Benin,Edo,South South,INTERNET,10,Active,Corporate
Swifttalk HQ,Swifttalk Ilupeju,Lagos,South West,INTERNET,155,Active,Corporate
Starbest Hotel Umuahia,Starbest Hotel Umuahia,Abia,South East,INTERNET,2,Active,Corporate
Starlion Group,Starlion Group Ibadan,Ibadan,South West,INTERNET,3,Active,Corporate
Starlion Group,Hyundia Motors,Enugu,South East,INTERNET,3,Active,Corporate
Starlion Group,Orile,Lagos,South West,INTERNET,5,Active,Corporate
Starlion Group Gbagada Nissan,Gbagada Nissan Lagos,Lagos,South West,INTERNET,5,Active,Corporate
STATNET SYSTEMS LIMITED,Statnet Ekiti,Ekiti,South West,INTERNET,10,Active,Corporate
Tansian University ,Tansian University  Umunya,Anambra,South East,INTERNET,20,Active,Corporate
Tansian University ,Tansian University  Oba,Anambra,South East,INTERNET,20,Active,Corporate
Teleware Technologies,Teleware Technologies Aba,Abia,South East,INTERNET,20,Disconnected,Corporate
Telnet,Telnet NNPC,Abuja,North Central,WAN,8,Active,Corporate
Telnet,Stanbic IBTC Umuahia,Abia,South East,WAN,4,Active,Corporate
Telnet,Telnet Aba Cemetery,Abia,South East,WAN,6,Active,Corporate
Telnet,Stanbic IBTC Pension Awka,Anambra,South East,WAN,4,Active,Corporate
Telnet,Telnet Ogidi Access,Anambra,South East,WAN,6,Active,Corporate
Telnet,Stanbic IBTC Makurdi,Benue,North Central,WAN,4,Active,Corporate
Telnet,Stanbic IBTC Maiduguri,Borno,North East,WAN,4,Active,Corporate
Telnet,Stanbic IBTC Bank Calabar,CrossRiver,South South,WAN,4,Active,Corporate
Telnet,Telnet Access Ekenwa Benin,Edo,South South,WAN,6,Active,Corporate
Telnet,Telnet Acess bank Agbani,Enugu,South East,WAN,10,Active,Corporate
Telnet,"Telnet Acess bank Orlu road,Owerri",Imo,South East,WAN,8,Active,Corporate
Telnet,Stanbic IBTC Kano,Kano,North West,WAN,4,Active,Corporate
Telnet,Telnet VI Damole street,Lagos,South West,WAN,10,Active,Corporate
Telnet,Stanbic IBTC Oshogbo,Osun,South West,WAN,4,Active,Corporate
Telnet,Telnet (Access Bank) Ikoku PH,Rivers,South South,WAN,6,Active,Corporate
Telnet,Telnet Aba Rd PH,Rivers,South South,WAN,6,Active,Corporate
Telnet,Telnet Ikwerre Rd (Access Bank) PH,Rivers,South South,WAN,6,Active,Corporate
Telnet,Access bank Telnet Dugbe,Ibadan,South West,WAN,6,Active,Corporate
Telnet,Telnet Aba Rd (INEC) PH,Rivers,South South,WAN,20,Active,Corporate
Telnet,Stanbic IBTC Pension Sokoto,Sokoto,North West,WAN,4,Active,Corporate
Telnet,Access Bank  Calabar,Cross River,South South,WAN,6,Active,Corporate
Telnet,Access Bank Uyo,Akwa Ibom,South South,WAN,6,Active,Corporate
Telnet,Naze  Owerri,Imo,South East,WAN,6,Active,Corporate
Telnet ,Telnet – Agbani 2 Enugu ,Enugu,South East,WAN,10,Active,Corporate
Telnet,"Access Bank Ugwuruta , PH      ",Rivers,South South,WAN,6,Active,Corporate
Timeless net ,Timeless net  Benin,Edo,South South,INTERNET,100,Active,Corporate
Timeless net ,Timeless net  PH,Rivers,South South,INTERNET,80,Active,Corporate
Torrent Tech,Torrent Tech Calabar,CrossRiver,South South,INTERNET,20,Active,Corporate
Torrent Tech,Torrent Tech Ogbele PH,Rivers,South South,INTERNET,10,Active,Corporate
Torrent Tech ,Torrent Tech PH Geoplex,Rivers,South South,INTERNET,10,Active,Corporate
Torrent Tech ,Torrent Tech PH Techdaer,Rivers,South South,INTERNET,10,Active,Corporate
Torrent Tech ,Torrent Tech Akwa Ibom,Akwa Ibom,South South,INTERNET,10,Active,Corporate
Total Quality,Total Quality Ilorin,Kwara,North Central,INTERNET,6,Active,Corporate
Total Quality,Total Quality VI,Lagos,South West,INTERNET,30,Active,Corporate
Total Quality,Total Quality VI  2,Lagos,South West,INTERNET,10,Active,Corporate
TOFA,TOFA MFB,Kano,North West,INTERNET,5,Disconnected,Corporate
TOFA,TOFA Lekki,Lagos,South West,INTERNET,4,Disconnected,Corporate
Tranter-IT,Tranter-IT HQ Ilupeju,Lagos,South West,INTERNET,100,Active,Corporate
Umenyi House,Umenyi House Awka,Anambra,South East,INTERNET,1,Active,Corporate
Union Bank,Union Bank ATM PHCN,Abuja,North Central,WAN,1,Active,Corporate
Union Bank,Union Bank Ademola Abuja,Abuja,North Central,WAN,2,Active,Corporate
Union Bank,Union Bank Maitama,Abuja,North Central,WAN,2,Active,Corporate
Union Bank,Union Bank Deidei,Abuja,North Central,WAN,4,Active,Corporate
Union Bank,Union Bank Mubi,Adamawa,North East,WAN,2,Active,Corporate
Union Bank,Union Bank Uyo,Akwaibom,South South,WAN,4,Active,Corporate
Union Bank,Union Bank Amawbia,Anambra,South East,WAN,2,Active,Corporate
Union Bank,Union Bank Atani,Anambra,South East,WAN,4,Active,Corporate
Union Bank,Union Bank Okoh,Anambra,South East,WAN,2,Active,Corporate
